avg_attacker_episode_rewards,avg_defender_episode_rewards,avg_episode_steps,epsilon_values,hack_probability,attacker_cumulative_reward,defender_cumulative_reward,avg_episode_loss_attacker,avg_episode_loss_defender,lr_list,cumulative_hack_probability
1.0,1.0,11.0,1,0.0,0,0,0.0,0.0,0.0005,0.0
-0.0018095238095238208,0.58,4.61,0.9900493386913721,0.14,0.8190476190476215,57,0.0,0.0,0.0005,0.13861386138613863
-0.02155880230880232,0.61,4.15,0.980197693043223,0.13,-1.3368326118326106,118,0.0,0.0,0.0005,0.13432835820895522
-0.008515873015873011,0.49,4.62,0.970444077784251,0.17,-2.188419913419911,167,0.0,0.0,0.0005,0.1461794019933555
-0.2593809523809524,0.73,4.19,0.9607875174472562,0.09,-30.126515151515157,240,0.0,0.0,0.0005,0.13216957605985039
-0.42699567099567104,0.88,4.24,0.9512270462715811,0.04,-70.82608225108224,328,0.0,0.0,0.0005,0.11377245508982035
-0.16839285714285715,0.67,4.38,0.9417617081065252,0.11,-87.66536796536799,395,0.0,0.0,0.0005,0.11314475873544093
-0.074479797979798,0.67,5.31,0.9323905563157222,0.11,-95.11334776334778,462,0.0,0.0,0.0005,0.11269614835948645
0.24512734487734483,0.37,4.99,0.9231126536824614,0.21,-70.60061327561331,499,0.0,0.0,0.0005,0.12484394506866417
-0.36241666666666666,0.85,4.21,0.9139270723159584,0.05,-106.84227994227999,584,0.0,0.0,0.0005,0.11653718091009989
-0.17782142857142857,0.73,4.01,0.9048328935585562,0.09,-124.62442279942285,657,0.0,0.0,0.0005,0.11388611388611389
-0.1924642857142857,0.67,4.49,0.8958292078938495,0.11,-142.87085137085143,723,0.0,0.0,0.0005,0.11353315168029064
-0.32244841269841273,0.7,4.27,0.886915114855721,0.1,-177.11569264069266,793,0.0,0.0,0.0005,0.11240632805995004
-0.03761507936507937,0.61,4.98,0.8780897229382887,0.13,-178.87720057720063,854,0.0,0.0,0.0005,0.1137586471944658
-0.2692380952380952,0.73,4.06,0.8693521495067424,0.09,-205.8010101010102,927,0.0,0.0,0.0005,0.11206281227694503
0.016579365079365065,0.61,4.45,0.8607015207090729,0.13,-204.1430735930736,988,0.0,0.0,0.0005,0.11325782811459027
-0.03244505494505495,0.61,4.57,0.8521369713886755,0.13,-208.88757908757913,1049,0.0,0.0,0.0005,0.11430356027482823
0.020901154401154396,0.58,4.52,0.843657644997827,0.14,-205.29746364746367,1107,0.0,0.0,0.0005,0.11581422692533803
